Respondent,Prolific_ID,Message_framing,Relational_values,NR6_score,Greenspace_visitation,Upland_visitation,Peatland_knowledge,Degraded_peatlands_before,Regenerate_peatlands_before,Degraded_peatlands_after,Regenerate_peatlands_after,Degraded_peatland_score,Regenerate_peatland_score,Behaviour_1,Behaviour_2,Behaviour_3,Behaviour_sum,Financial_donation,Financial_allocation,Medical_research,Human_rights,Animal_welfare,Vulnerable_people,Other_conservation,Financial_compost,Advert_sufficiency,ES_Manipulation,BIO_Manipulation,Relational_Manipulation,Age_midpoint,Gender,Ethnicity,IMD_decile
1,5c386c79887c000001b66ae1,ES,Present,3.166666667,30.5,1,6,8,8,9,10,1,2,9,10,10,29,5,10,20,10,20,20,20,10,9,10,9,9,59.5,Female,White or Caucasian,6
2,5ed7b9064ccf67279ecee3a4,ES,Present,3.5,2.5,0,2,6,10,9,0,3,-10,10,10,8,28,20,20,20,10,15,20,15,5,10,10,7,10,59.5,Male,Other,3
3,5d7bcad21cb70e0019f84c81,BIO,Present,3.166666667,18,0.5,2,5,8,8,7,3,-1,6,5,5,16,0,5,30,30,5,20,10,0,0,5,7,7,59.5,Male,Other,9
4,5f98a392d611e51b3f10f8b0,BIO,Absent,4.666666667,4.5,1,2,5,6,7,10,2,4,10,10,10,30,0,10,20,10,10,20,30,0,9,10,10,10,59.5,Female,Other,6
5,571de12713b1b70012be47f6,BIO,Absent,2.333333333,4.5,0.5,2,5,8,7,7,2,-1,0,0,0,0,0,0,50,0,0,50,0,0,1,1,10,0,69.5,Male,Other,6
6,60edb9d234837bb042864f8f,ES,Present,3.333333333,0.5,0,2,6,6,8,10,2,4,7,8,7,22,20,20,20,15,10,20,15,15,8,10,0,8,59.5,Female,Other,9
7,63ee9abfa262bea95766dd9c,ES,Absent,3.833333333,1,0.5,4,8,8,8,8,0,0,7,8,8,23,1,10,50,10,10,30,0,0,9,8,8,7,69.5,Female,Other,8
8,5c3f18cf105d550001417ef0,ES,Present,3,2.5,0.5,5,7,8,8,9,1,1,6,3,6,15,0,0,45,10,0,35,10,5,7,8,8,7,59.5,Male,Other,8
9,5cf84c0f4b639a0016a45a54,BIO,Absent,3.166666667,18,1,2,8,7,8,8,0,1,5,2,6,13,30,20,60,0,0,10,10,1,5,7,7,7,59.5,Female,Other,3
10,642c60db7d35f189b06e9f57,ES,Present,3.666666667,4.5,0.5,4,5,5,8,8,3,3,8,8,6,22,0,0,20,0,0,0,0,5,2,9,9,7,69.5,Male,Other,3
11,5af2f6c0c36b060001f80163,BIO,Absent,3.833333333,2.5,0.5,1,8,8,8,9,0,1,5,4,6,15,0,0,10,40,40,10,0,3,5,6,8,7,29.5,Male,Other,5
12,63b9ddcfc41c2bc2f3b866e8,BIO,Absent,4,4.5,2.5,4,6,8,9,9,3,1,10,9,9,28,50,30,10,10,30,5,10,15,9,8,10,9,49.5,Male,Other,8
13,63d140059a1a559c554e7e68,BIO,Present,4,30.5,18,2,5,5,7,8,2,3,9,8,8,25,0,0,0,0,0,0,0,1,8,8,10,9,39.5,Male,White or Caucasian,3
14,63d7f6d272c61ecbd34d90ff,ES,Present,1.5,0.5,0.5,2,5,7,7,7,2,0,5,2,3,10,0,0,0,0,0,0,0,0,0,6,6,6,21,Male,Other,3
15,5eab2dbd0c7a950efa32c3dc,BIO,Absent,2.333333333,30.5,2.5,5,7,7,9,10,2,3,6,9,9,24,0,10,25,10,25,10,20,3,9,1,10,1,39.5,Female,White or Caucasian,6
16,60cef23985e569317c08277f,ES,Absent,3.666666667,2.5,0.5,6,6,6,8,8,2,2,6,4,8,18,2,15,15,15,15,15,25,1,8,8,8,8,21,Male,White or Caucasian,10
